symbol,series,date,prev_close,open,high,low,last,close,AVG_PRICE,volume,turnover_lacs,num_trades,deliv_qty,deliv_per
TCS, EQ,2025-04-17,3273.8,3245.5,3303.6,3218.0,3297.4,3298.9,3262.86,2932346,95678.36,183984,1437783,49.03
TCS, EQ,2025-04-21,3298.9,3290.1,3354.0,3284.1,3319.0,3321.6,3325.96,2432946,80918.78,127748,1426351,58.63
TCS, EQ,2025-04-22,3321.6,3322.6,3333.9,3295.0,3312.5,3314.4,3315.22,2710498,89858.99,151282,1610606,59.42
TCS, EQ,2025-04-23,3314.4,3365.0,3420.9,3337.3,3405.0,3413.0,3398.75,3543923,120449.0,164989,2082133,58.75
TCS, EQ,2025-04-24,3413.0,3401.1,3412.5,3387.7,3406.0,3401.6,3398.95,2252175,76550.37,158061,1566847,69.57
TCS, EQ,2025-04-25,3401.6,3420.0,3477.8,3405.0,3434.0,3448.0,3442.01,2742991,94414.15,151400,1429795,52.13
TCS, EQ,2025-04-28,3448.0,3435.0,3457.8,3405.0,3441.0,3443.5,3438.58,1593296,54786.82,94204,943941,59.24
TCS, EQ,2025-04-29,3443.5,3455.0,3495.0,3430.4,3473.0,3472.5,3470.18,1578332,54770.92,95060,834027,52.84
TCS, EQ,2025-04-30,3472.5,3472.0,3509.9,3366.0,3431.8,3453.7,3464.02,2809332,97315.86,129048,1927631,68.62
TCS, EQ,2025-05-02,3453.7,3472.0,3491.5,3420.0,3438.0,3444.7,3450.76,2115624,73005.05,124212,1344455,63.55
TCS, EQ,2025-05-05,3444.7,3450.0,3504.5,3446.4,3454.6,3454.3,3466.59,1284443,44526.37,96657,720885,56.12
TCS, EQ,2025-05-06,3454.3,3460.0,3473.0,3437.0,3451.6,3460.0,3458.05,1324763,45811.01,65526,843965,63.71
TCS, EQ,2025-05-07,3460.0,3420.6,3459.5,3420.6,3448.0,3445.1,3442.07,1477128,50843.83,89334,949257,64.26
TCS, EQ,2025-05-08,3445.1,3448.0,3477.0,3428.7,3434.2,3448.9,3451.58,2543591,87794.06,116139,1528153,60.08
TCS, EQ,2025-05-09,3448.9,3399.0,3446.2,3398.1,3439.9,3440.3,3428.44,2531757,86799.87,151453,1575315,62.22
TCS, EQ,2025-05-12,3440.3,3505.0,3630.5,3502.2,3626.5,3620.4,3577.93,2228678,79740.52,146104,1189063,53.35
TCS, EQ,2025-05-13,3620.4,3620.4,3623.0,3510.5,3518.0,3515.0,3541.51,3062887,108472.5,221289,1762852,57.56
TCS, EQ,2025-05-14,3515.0,3521.0,3561.0,3508.6,3547.0,3548.7,3543.04,2119499,75094.6,136543,1404895,66.28
TCS, EQ,2025-05-15,3548.7,3564.0,3600.0,3514.1,3576.5,3579.9,3565.55,3548330,126517.36,172937,1678653,47.31
TCS, EQ,2025-05-16,3579.9,3593.9,3593.9,3546.1,3561.3,3561.3,3559.81,1666727,59332.25,117749,1056392,63.38
TCS, EQ,2025-05-19,3561.3,3550.0,3550.0,3503.7,3518.0,3518.8,3522.37,2537377,89375.85,129050,1587809,62.58
TCS, EQ,2025-05-20,3518.8,3531.8,3558.0,3494.0,3503.0,3498.3,3515.81,2038374,71665.41,138343,1246214,61.14
TCS, EQ,2025-05-21,3498.3,3508.0,3537.0,3498.3,3521.1,3525.8,3523.98,1440153,50750.75,72782,959668,66.64
TCS, EQ,2025-05-22,3525.8,3495.0,3497.8,3451.3,3483.4,3477.0,3473.54,2034383,70665.04,138574,994931,48.91
TCS, EQ,2025-05-23,3477.0,3477.0,3535.0,3465.6,3508.0,3514.6,3511.99,1274331,44754.4,71383,674867,52.96
TCS, EQ,2025-05-26,3514.6,3521.0,3545.0,3510.1,3538.0,3537.3,3536.37,967470,34213.3,67043,523834,54.14
TCS, EQ,2025-05-27,3537.3,3532.0,3540.0,3483.1,3501.0,3498.7,3500.34,2467680,86377.19,165908,1251300,50.71
TCS, EQ,2025-05-28,3498.7,3520.0,3529.0,3493.0,3500.1,3497.7,3501.32,1222933,42818.81,80594,774223,63.31
TCS, EQ,2025-05-29,3497.7,3504.7,3532.5,3486.5,3494.0,3498.1,3500.24,3188072,111590.21,146463,1613813,50.62
TCS, EQ,2025-05-30,3498.1,3490.0,3506.7,3453.1,3460.0,3463.4,3473.8,3404365,118260.74,104081,2532800,74.4
TCS, EQ,2025-06-02,3463.4,3450.0,3460.0,3418.6,3445.8,3449.8,3441.46,1877585,64616.35,105414,1188069,63.28
TCS, EQ,2025-06-03,3449.8,3446.0,3473.5,3400.5,3411.4,3405.2,3418.44,2848125,97361.54,195278,1746886,61.33
TCS, EQ,2025-06-04,3405.2,3389.0,3394.8,3370.0,3381.0,3380.9,3382.86,2544807,86087.17,185107,1714119,67.36
TCS, EQ,2025-06-05,3380.9,3409.0,3409.0,3363.7,3374.0,3371.1,3380.39,3584683,121176.24,129913,2261231,63.08
TCS, EQ,2025-06-06,3371.1,3371.1,3390.9,3358.7,3388.0,3384.2,3376.59,2070390,69908.55,94941,1482546,71.61
TCS, EQ,2025-06-09,3384.2,3400.0,3434.0,3390.9,3423.0,3421.9,3420.68,1718678,58790.53,73412,1257044,73.14
TCS, EQ,2025-06-10,3421.9,3440.0,3485.8,3423.2,3461.9,3462.9,3462.61,2419874,83790.91,109195,1524141,62.98
TCS, EQ,2025-06-11,3462.9,3470.0,3489.0,3449.1,3470.8,3471.9,3471.9,2847013,98845.5,163525,2172976,76.32
TCS, EQ,2025-06-12,3471.9,3471.9,3474.7,3423.2,3432.0,3434.2,3447.13,4060134,139957.94,164333,2420793,59.62
TCS, EQ,2025-06-13,3434.2,3393.2,3450.5,3393.2,3447.4,3445.7,3436.18,2178493,74856.9,140820,1521002,69.82
TCS, EQ,2025-06-16,3445.7,3440.0,3509.0,3426.2,3496.2,3496.3,3493.01,1934088,67557.89,109847,1181835,61.11
TCS, EQ,2025-06-17,3496.3,3510.0,3520.0,3488.1,3512.0,3515.3,3511.25,2111940,74155.52,145498,1331538,63.05
TCS, EQ,2025-06-18,3515.3,3519.1,3538.0,3443.1,3455.0,3451.4,3483.78,2696327,93933.97,103359,1285029,47.66
TCS, EQ,2025-06-19,3451.4,3450.0,3451.0,3413.0,3420.0,3424.0,3426.54,2672768,91583.52,125292,1433831,53.65
TCS, EQ,2025-06-20,3424.0,3425.0,3446.3,3410.9,3429.1,3435.7,3432.16,2351248,80698.56,100374,1674052,71.2
TCS, EQ,2025-06-23,3435.7,3415.0,3425.0,3370.0,3392.0,3393.6,3392.2,3123421,105952.72,153401,2160111,69.16
TCS, EQ,2025-06-24,3393.6,3434.6,3442.1,3382.0,3392.0,3390.4,3408.47,3403048,115991.76,178183,2073351,60.93
TCS, EQ,2025-06-25,3390.4,3407.3,3450.0,3400.0,3443.0,3444.8,3422.33,1757699,60154.22,101280,1044025,59.4
TCS, EQ,2025-06-26,3444.8,3444.8,3451.4,3415.3,3443.0,3441.8,3437.7,2879106,98975.01,143687,1717081,59.64
TCS, EQ,2025-06-27,3441.8,3455.0,3466.4,3431.0,3445.0,3441.1,3445.16,1778433,61269.79,122369,1139101,64.05
TCS, EQ,2025-06-30,3441.1,3439.9,3464.9,3430.0,3460.0,3462.0,3452.05,1468351,50688.27,130938,952875,64.89
TCS, EQ,2025-07-01,3462.0,3455.0,3485.0,3413.5,3430.0,3429.7,3439.04,2375183,81683.54,125874,1376618,57.96
TCS, EQ,2025-07-02,3429.7,3487.2,3489.9,3420.0,3423.5,3423.3,3445.44,3090585,106484.36,111947,1716364,55.54
TCS, EQ,2025-07-03,3423.3,3430.0,3435.3,3397.6,3400.0,3400.8,3414.55,2531870,86452.08,131370,1819603,71.87
TCS, EQ,2025-07-04,3400.8,3408.0,3427.0,3390.1,3420.0,3419.8,3413.91,1109320,37871.17,87593,644036,58.06
TCS, EQ,2025-07-07,3419.8,3418.3,3426.1,3408.4,3410.6,3411.7,3417.7,1639174,56022.06,73810,1118374,68.23
TCS, EQ,2025-07-08,3411.7,3405.0,3425.0,3393.4,3406.0,3406.2,3407.01,2325242,79221.17,178045,1661198,71.44
TCS, EQ,2025-07-09,3406.2,3410.0,3414.0,3367.0,3386.0,3383.8,3387.16,2034938,68926.61,191376,1279329,62.87
TCS, EQ,2025-07-10,3383.8,3380.0,3399.0,3356.0,3395.0,3382.0,3379.02,3035012,102553.61,176792,1719068,56.64
TCS, EQ,2025-07-11,3382.0,3299.9,3335.0,3261.1,3264.5,3266.0,3295.45,7635550,251625.52,552284,5062574,66.3
TCS, EQ,2025-07-14,3266.0,3266.0,3272.0,3200.0,3227.5,3222.7,3224.72,3924009,126538.12,396894,2760493,70.35
TCS, EQ,2025-07-15,3222.7,3206.0,3259.4,3206.0,3252.0,3252.3,3243.32,2590889,84030.81,171257,1762338,68.02
TCS, EQ,2025-07-16,3252.3,3227.0,3244.9,3220.6,3230.9,3233.1,3235.91,2540733,82215.86,172998,1836366,72.28
TCS, EQ,2025-07-17,3233.1,3224.1,3242.0,3204.1,3207.7,3209.2,3220.48,2947640,94928.07,157207,1867207,63.35
TCS, EQ,2025-07-18,3209.2,3225.0,3228.8,3187.0,3189.6,3189.9,3201.13,3432645,109883.48,195464,2699991,78.66
TCS, EQ,2025-07-21,3189.9,3190.0,3197.6,3152.0,3158.9,3158.2,3162.44,3844346,121575.19,195683,3015136,78.43
TCS, EQ,2025-07-22,3158.2,3159.6,3180.1,3154.6,3164.7,3159.6,3163.54,3198036,101171.07,138279,2368727,74.07
TCS, EQ,2025-07-23,3159.6,3159.6,3182.0,3157.6,3175.0,3179.1,3169.59,1922875,60947.31,96628,1444368,75.12
TCS, EQ,2025-07-24,3179.1,3165.1,3173.7,3140.0,3144.9,3148.0,3155.37,2934778,92603.12,102612,2078166,70.81
TCS, EQ,2025-07-25,3148.0,3140.0,3156.9,3125.6,3140.0,3135.8,3140.77,2568917,80683.76,105704,1865883,72.63
TCS, EQ,2025-07-28,3135.8,3110.0,3118.0,3069.9,3085.8,3079.3,3092.56,3374473,104357.52,273133,2228745,66.05
TCS, EQ,2025-07-29,3079.3,3060.0,3074.0,3041.2,3057.0,3056.0,3056.04,4785312,146240.91,247039,3701660,77.35
TCS, EQ,2025-07-30,3056.0,3060.0,3069.0,3047.2,3052.1,3053.6,3058.58,2880121,88090.79,127490,2297558,79.77
TCS, EQ,2025-07-31,3053.6,3041.7,3059.8,3015.0,3033.2,3036.8,3034.36,2968371,90071.06,199367,1843385,62.1
TCS, EQ,2025-08-01,3036.8,3029.9,3036.8,3000.0,3001.1,3003.0,3013.79,2053847,61898.63,154119,1378316,67.11
TCS, EQ,2025-08-04,3003.0,3009.1,3079.4,2991.6,3078.7,3074.4,3046.24,2519252,76742.45,154005,1775012,70.46
TCS, EQ,2025-08-05,3074.4,3074.4,3077.5,3042.0,3060.0,3063.9,3057.96,1927996,58957.39,118848,1380270,71.59
TCS, EQ,2025-08-06,3063.9,3063.0,3066.8,3026.0,3031.6,3032.3,3037.1,1487081,45164.13,109992,1006545,67.69
TCS, EQ,2025-08-07,3032.3,3016.0,3051.6,3010.9,3049.1,3047.0,3032.09,2543076,77108.29,138156,1664541,65.45
TCS, EQ,2025-08-08,3047.0,3048.1,3059.8,3025.0,3031.9,3036.4,3043.58,2762140,84068.05,119961,1911858,69.22
TCS, EQ,2025-08-11,3036.4,3036.4,3049.9,3021.3,3042.0,3040.8,3040.5,1884215,57289.58,132617,1340095,71.12
TCS, EQ,2025-08-12,3040.8,3041.0,3096.4,3026.9,3039.8,3035.4,3057.38,3358232,102673.96,165565,2092242,62.3
TCS, EQ,2025-08-13,3035.4,3036.1,3044.4,3028.6,3035.0,3036.2,3037.72,2148166,65255.33,117340,1487436,69.24
TCS, EQ,2025-08-14,3036.2,3034.0,3055.9,3019.1,3022.5,3022.3,3032.52,3342174,101352.13,194661,2290360,68.53
