symbol,series,date,prev_close,open,high,low,last,close,AVG_PRICE,volume,turnover_lacs,num_trades,deliv_qty,deliv_per,ret_1d,ret_5d,vwap_proxy,sma_5,sma_20,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,atr_14,close_lag_1,ret_lag_1,close_lag_2,ret_lag_2,close_lag_3,ret_lag_3,close_lag_5,ret_lag_5,close_lag_10,ret_lag_10,y_ret,y_cls,signal,shift_sig,strat_ret,equity_curve
HDFCBANK, EQ,2025-05-16,1933.8,1933.8,1943.8,1928.4,1934.5,1934.7,1933.5,7934005,153404.26,175140,5821408,73.37,,2.381330369899981,1935.6333333333332,1931.78,1925.8799999999999,1926.7092164588933,1922.3619401934411,64.8063319308169,4.3472762654521375,4.390819469115498,-0.04354320366336051,1925.8799999999999,1959.9183437039062,1891.8416562960936,36.52228640820712,1933.8,1.2142782372029703,1910.6,-0.6241547903880207,1922.6,-1.7678315961577873,1889.7,-2.0119263676432464,1925.0,0.0,0.20675040057889227,0,-1,0.0,0.0,1.0
TCS, EQ,2025-05-16,3579.9,3593.9,3593.9,3546.1,3561.3,3561.3,3559.81,1666727,59332.25,117749,1056392,63.38,0.8407505039541014,3.517135133563931,3567.1,3565.06,3454.29,3504.7519191136757,3444.662608306815,71.41999243212649,60.089310806860794,50.01629583902252,10.073014967838276,3454.29,3622.340893293794,3286.239106706206,77.08756700222077,3579.9,0.8791951982416224,3548.7,0.9587482219061139,3515.0,-2.9112805214893456,3440.3,-0.24935486676911367,3444.7,-0.26059009178561743,-1.19338443826692,-1,-1,-1.0,-0.8412505039541014,0.1587494960458986
ICICIBANK, EQ,2025-05-16,1450.8,1453.3,1458.7,1447.0,1452.4,1454.0,1454.25,6439208,93642.46,145344,4516729,70.14,-0.5917221239435038,4.687162502699982,1453.2333333333333,1442.02,1425.69,1433.3112760802019,1424.9763094107882,63.00030555021889,8.334966669413689,6.030137712901777,2.304828956511912,1425.69,1459.1149134943576,1392.2650865056426,32.954037656345655,1450.8,1.724863273033228,1426.2,-0.30756326017055136,1430.6,-1.2357611322057371,1388.9,-3.246255660048758,1432.4,0.3784162578836847,-0.343878954607979,0,1,-1.0,0.5917221239435038,0.25268508502113857
RELIANCE, EQ,2025-05-16,1454.2,1453.2,1461.0,1447.3,1454.8,1456.4,1455.16,9036695,131497.98,196322,6326662,70.01,0.0016506189821183792,5.7507987220447365,1454.9000000000003,1437.44,1379.435,1413.2568475715473,1373.6900512858126,80.20828924583108,39.566796285734654,35.13818382432478,4.428612461409877,1379.435,1502.0955118116453,1256.7744881883546,36.38997494359631,1454.2,2.0921089581578123,1424.4,0.6145369781733523,1415.7,-1.4479638009049722,1377.2,-2.117981520966594,1422.4,1.2384341637010632,-1.0711343037627108,-1,1,1.0,0.0011506189821183792,0.2529758292764621
INFY, EQ,2025-05-16,1613.0,1612.6,1612.6,1581.5,1589.4,1589.9,1591.32,4576751,72830.68,132211,2596001,56.72,0.0916643779181543,5.459007694348639,1594.6666666666667,1598.16,1512.225,1551.906668698706,1510.1325162893775,77.00406864667062,41.77415240932851,32.49496244134397,9.279189967984536,1512.225,1628.9578551594802,1395.4921448405196,41.840874251051154,1613.0,1.2936448128610945,1592.4,1.5172765523396858,1568.6,-3.583502366463842,1507.6,-0.25142252216489025,1506.8,0.44663689087394154,-1.8932008302409042,-1,-1,1.0,0.0916643779181543,0.2761647012954182
TCS, EQ,2025-05-19,3561.3,3550.0,3550.0,3503.7,3518.0,3518.8,3522.37,2537377,89375.85,129050,1587809,62.58,1.2132209572929114,-2.8063197436747345,3524.1666666666665,3544.7400000000002,3465.2850000000008,3506.9131623269564,3450.1542669507544,65.23287314104212,56.75889537620196,51.36481574645841,5.394079629743551,3465.2850000000008,3618.6630506495408,3311.9069493504608,75.6955979306336,3561.3,-0.5195675856867532,3579.9,0.8791951982416224,3548.7,0.9587482219061139,3620.4,5.235008574833588,3454.3,0.2786890004935261,-0.5825849721495913,-1,-1,-1.0,-1.2137209572929113,-0.05902218433136768
RELIANCE, EQ,2025-05-19,1456.4,1452.1,1454.6,1438.2,1442.9,1440.8,1443.67,6195791,89447.06,144606,3890227,62.79,-0.5905422303057861,0.2993386703793899,1444.5333333333335,1438.3,1387.75,1417.494255637463,1378.6611585979747,75.5141808081104,38.83309703948839,35.877166467357505,2.955930572130889,1387.75,1502.7677377624861,1272.7322622375139,35.09069101905372,1456.4,0.1512859304084735,1454.2,2.0921089581578123,1424.4,0.6145369781733523,1436.5,4.305837932036005,1431.3,0.6257030371203509,-1.124375347029427,-1,1,-1.0,0.5905422303057861,-0.09387727670393278
INFY, EQ,2025-05-19,1589.9,1576.5,1585.0,1555.7,1557.9,1559.8,1565.44,8855798,138632.31,186064,5456677,61.62,0.08259300388672952,-4.124408384043276,1566.8333333333333,1584.74,1519.24,1553.1210273604436,1513.811589156831,70.6902561501511,39.30943820361267,33.85785759379771,5.451580609814961,1519.24,1629.175299632389,1409.304700367611,41.29509751883322,1589.9,-1.4321140731556103,1613.0,1.2936448128610945,1592.4,1.5172765523396858,1626.9,7.913239586097132,1508.6,0.11945845500398455,0.05128862674701473,0,-1,1.0,0.08209300388672952,-0.10158394434526433
ICICIBANK, EQ,2025-05-19,1454.0,1446.5,1459.7,1443.8,1447.0,1449.0,1451.29,6005334,87155.02,139810,3954297,65.85,-0.07103474804462107,0.034518467380051376,1450.8333333333333,1442.1200000000001,1427.8049999999998,1435.724925914017,1426.7558420470261,60.982625228975735,8.969083866990786,6.617926943719579,2.3511569232712075,1427.8049999999998,1461.5223686305505,1394.0876313694491,31.73589210946383,1454.0,0.22056796250344846,1450.8,1.724863273033228,1426.2,-0.30756326017055136,1448.5,4.291165670674624,1429.4,-0.20943870427254652,-0.7453416149068248,-1,1,-1.0,0.07053474804462107,-0.10874914226503635
HDFCBANK, EQ,2025-05-19,1934.7,1937.0,1945.0,1931.0,1937.1,1938.7,1938.13,5101482,98873.38,156815,3240362,63.52,0.3379572118702554,-0.9452278765583522,1938.2333333333333,1928.08,1927.4800000000002,1928.5539523882942,1923.5721668457788,65.3362420209686,4.981785542515354,4.509012683795469,0.4727728587198845,1927.4800000000002,1960.721293280307,1894.2387067196935,34.91355166476376,1934.7,0.046540490226498754,1933.8,1.2142782372029703,1910.6,-0.6241547903880207,1957.2,3.5719955548499716,1936.8,0.6129870129870207,-1.227626760200129,-1,-1,1.0,0.3374572118702554,-0.14544732460707727
